Metric,DCA_AI_Hybrid,Pure_DCA_50k,Yearly_Lump_Sum
Total_Invested,1200000.0,989651.775390625,1182807.646484375
Final_Value,1613526.234375,1259140.078125,1650872.546875
Total_Return_Pct,34.46051953125,27.23061883337757,39.572360035195985
Annualized_Return_Pct,16.618338976041123,13.319418252286441,18.899589239849668
Sharpe_Ratio,1.0576060934413163,2.339624696935369,1.0970468509504034
Max_Drawdown_Pct,-13.854043823654209,-18.890821926320335,-26.710591900106408
DCA_Buys,22.0,N/A,N/A
AI_Trades,3.0,N/A,N/A
AI_Win_Rate_Pct,100.0,N/A,N/A
