type,buy_date,buy_price,sell_date,sell_price,return,profit,hold_days
AI,2015-08-26,7715.5546875,2016-02-25,8365.8330078125,0.0842814738084896,22109.462890625,120
AI,2016-02-26,8411.1328125,2016-08-22,8981.7880859375,0.06784523394868214,36521.9375,120
AI,2018-02-26,10836.7001953125,2018-08-21,10792.2001953125,-0.00410641608589013,-2225.0,120
AI,2018-11-01,9844.740234375,2019-05-08,10923.7099609375,0.10959859791882054,59343.3349609375,120
AI,2020-03-24,9285.6201171875,2020-09-15,12845.650390625,0.3833917636634687,263442.240234375,120
AI,2020-09-16,12976.759765625,2021-03-19,16070.240234375,0.23838620153426326,219637.11328125,120
AI,2021-04-07,16815.359375,2021-05-17,15353.8896484375,-0.08691278574368855,-116917.578125,27
AI,2021-05-21,16302.0595703125,2021-11-11,17452.51953125,0.07057144871636889,87434.95703125,120
AI,2022-05-30,16610.619140625,2022-06-23,15176.4404296875,-0.0863410748748007,-78879.8291015625,17
AI,2022-07-20,14733.2197265625,2022-09-28,13466.0703125,-0.08600627952204898,-73494.666015625,49
AI,2022-11-07,13223.73046875,2023-05-15,15475.0498046875,0.1702484288573307,132827.8408203125,120
AI,2023-05-25,16292.0,2023-11-17,17208.94921875,0.056282176451632804,63269.49609375,120
AI,2023-11-21,17416.69921875,2024-05-23,21607.4296875,0.24061565375363747,284969.671875,120
AI,2024-05-24,21565.33984375,2024-08-05,19830.880859375,-0.08042808492432252,-131818.8828125,48
AI,2024-08-09,21469.0,2025-02-12,23289.75,0.08480832828729801,129273.25,120
AI,2025-04-10,19000.029296875,2025-09-30,25820.5390625,0.3589736446746845,654768.9375,120
