Metric,DCA_AI_Hybrid,Pure_DCA_50k,Yearly_Lump_Sum
Total_Invested,1800000.0,1520452.9619140625,1780220.69140625
Final_Value,2391308.3681640625,2182509.46875,2826069.953125
Total_Return_Pct,32.85046489800347,43.543373153911325,58.74829265649093
Annualized_Return_Pct,10.204699805503825,13.162071606034619,17.12744687415151
Sharpe_Ratio,1.1214465060331138,2.0504236995795373,1.1848423168959608
Max_Drawdown_Pct,-15.46818702955067,-21.904729073883875,-26.710591900106408
DCA_Buys,36.0,N/A,N/A
AI_Trades,4.0,N/A,N/A
AI_Win_Rate_Pct,100.0,N/A,N/A
