Metric,DCA_AI_Hybrid,Pure_DCA_50k,Yearly_Lump_Sum
Total_Invested,6600000.0,5689411.7470703125,6525381.790527344
Final_Value,12587904.149360657,12522878.41796875,14792308.349609375
Total_Return_Pct,90.72582044485844,120.10849231323854,126.68877966777092
Annualized_Return_Pct,6.0954053891773,7.497670697628345,7.78824932720279
Sharpe_Ratio,0.892877532467784,1.356296360646171,0.8249091973997567
Max_Drawdown_Pct,-26.638003954049378,-27.15189940466945,-31.631862810264643
DCA_Buys,132.0,N/A,N/A
AI_Trades,16.0,N/A,N/A
AI_Win_Rate_Pct,68.75,N/A,N/A
